task_id_list	courier_id	total_score	willingness
T0010,T0024	C032	21.1420	0.1916
T0000,T0006	C024	32.4530	0.1594
T0003,T0005	C022	39.3202	0.1705
T0024,T0025	C058	16.2716	0.0582
T0009,T0021	C039	34.0313	0.1321
T0024,T0026	C020	14.2144	0.0482
T0024,T0026	C030	32.2159	0.1219
T0001,T0005	C009	26.5779	0.0100
T0013,T0029	C010	34.1375	0.0456
T0028	C040	33.3746	0.1509
T0013	C049	25.1296	0.0464
T0020,T0024	C048	25.6101	0.2371
T0020	C019	24.2681	0.1318
T0003,T0015	C054	14.3548	0.0100
T0001,T0018	C003	31.7429	0.1785
T0002,T0023	C024	25.5491	0.0937
T0013,T0014	C030	41.8052	0.1041
T0023	C028	17.1966	0.1106
T0012,T0014	C018	44.8384	0.1492
T0018	C044	17.2511	0.1886
T0003	C023	12.7967	0.1064
T0002,T0015	C042	30.8652	0.0733
T0020,T0024	C013	31.5260	0.0100
T0007,T0020	C009	39.5938	0.1974
T0004,T0021	C022	22.7000	0.0593
T0018	C009	29.4104	0.0845
T0010,T0017	C056	18.8517	0.1821
T0013	C037	15.4027	0.1257
T0015,T0022	C034	18.3863	0.0271
T0010	C013	19.3104	0.0100
T0029	C057	19.6790	0.1590
T0010,T0020	C030	18.8873	0.0100
T0024	C004	31.5586	0.1007
T0001,T0013	C010	30.6411	0.1236
T0012,T0020	C035	25.1732	0.1569
T0021,T0026	C058	34.0826	0.0866
T0010,T0017	C046	30.2299	0.0421
T0013,T0014	C016	31.3028	0.0928
T0004,T0021	C014	29.3747	0.1713
T0000,T0017	C041	39.0725	0.1125
T0023	C047	11.7266	0.1454
T0003,T0015	C019	24.9331	0.1717
T0008	C008	28.8675	0.0514
T0005,T0011	C045	34.6696	0.1496
T0002,T0024	C046	22.0297	0.0409
T0021,T0026	C007	29.3083	0.1111
T0005	C025	11.2977	0.0100
T0025,T0028	C033	24.1230	0.1481
T0001,T0018	C029	27.7261	0.1011
T0021	C048	15.8616	0.2046
T0016	C025	16.4524	0.1778
T0009,T0023	C008	26.0326	0.1472
T0027,T0028	C046	25.0789	0.1171
T0022	C035	33.0330	0.0600
T0010,T0024	C059	27.3114	0.1341
T0018	C016	25.5164	0.1171
T0004,T0021	C007	24.9460	0.0100
T0010	C003	11.9540	0.0100
T0002,T0015	C012	38.7947	0.2018
T0007	C020	20.7141	0.1501
T0027	C001	12.9800	0.0974
T0014	C032	15.5671	0.1520
T0010,T0020	C003	20.3255	0.1753
T0021	C035	17.4822	0.0100
T0026,T0028	C056	20.2739	0.0341
T0024	C039	8.0000	0.0100
T0001,T0005	C018	10.0000	0.0354
T0021,T0026	C016	16.5870	0.0939
T0002,T0015	C032	12.7386	0.1249
T0002,T0024	C019	25.2335	0.1542
T0015	C050	21.5034	0.0786
T0000,T0011	C053	28.0277	0.1263
T0001	C003	30.0551	0.0570
T0028	C014	18.2276	0.2070
T0010,T0020	C050	28.1630	0.2186
T0021	C014	21.0505	0.1047
T0010	C016	29.7930	0.1068
T0006	C035	20.4883	0.0515
T0009	C048	22.1750	0.1857
T0013,T0026	C043	24.2261	0.0163
