task_id_list	courier_id	total_score	willingness
T0005,T0008	C000	42.5555	0.7763
T0012	C014	36.2742	0.6566
T0008	C029	8.0000	0.5583
T0007,T0010	C020	42.6459	0.5500
T0003	C002	13.8836	0.6400
T0004,T0014	C019	42.3315	0.4340
T0001,T0006	C025	35.6129	0.6514
T0013,T0014	C016	50.8655	0.3191
T0007	C007	35.7390	0.4200
T0001,T0006	C018	31.4795	0.6496
T0003	C004	34.9724	0.5317
T0014	C027	32.6514	0.5430
T0001	C020	41.9809	0.6759
T0012	C012	36.5832	0.5514
T0003	C021	42.2865	0.5063
T0006,T0007	C000	31.2816	0.4511
T0014	C028	36.4200	0.5920
T0012,T0013	C022	37.0555	0.5959
T0006,T0008	C003	35.8520	0.4649
T0008	C024	35.2158	0.5391
T0001	C009	35.8524	0.4218
T0004	C021	22.7272	0.5865
T0005,T0009	C014	39.5906	0.6695
T0007	C025	38.8362	0.7025
T0005,T0009	C017	59.5300	0.7549
T0014	C020	19.5620	0.3346
T0005	C000	21.2090	0.2126
T0004,T0012	C015	58.9861	0.1601
T0008	C010	14.5683	0.3015
T0006,T0007	C017	30.5698	0.3789
T0014	C009	27.5541	0.7676
T0008,T0010	C002	25.7516	0.6085
T0004,T0012	C005	49.5208	0.0100
T0002	C012	29.1986	0.3784
T0012	C017	47.5114	0.6430
T0006	C024	24.3600	0.6855
T0005,T0008	C017	32.1891	0.8410
T0006,T0008	C016	32.9586	0.4267
T0012,T0014	C018	27.7623	0.4112
T0011	C013	17.5993	0.3559
T0004,T0012	C022	52.1310	0.7588
T0011	C016	23.2618	0.7071
T0002,T0009	C006	39.0233	0.4071
T0000,T0014	C009	32.1993	0.2567
T0002,T0006	C001	38.3474	0.4573
T0006,T0007	C018	43.8157	0.6419
T0010	C014	32.3236	0.5959
T0005	C019	30.2227	0.3500
T0011	C000	32.8987	0.4701
T0004,T0007	C002	41.3509	0.3725
T0005,T0008	C010	43.6844	0.7270
T0001	C029	38.6088	0.5484
T0004,T0014	C022	42.8776	0.6868
T0004,T0012	C007	29.9501	0.1843
T0004,T0012	C008	45.7699	0.5746
T0011	C011	20.2257	0.1342
T0013	C009	30.9351	0.7642
T0000,T0002	C001	49.4203	0.6870
T0001	C001	28.6338	0.4052
T0001,T0006	C026	30.0975	0.7122
T0013	C026	25.2842	0.1702
T0010	C005	31.5484	0.6684
T0005	C007	34.5932	0.4642
T0006	C013	28.7543	0.4241
T0004	C006	49.3851	0.4878
T0000	C024	8.0000	0.3103
T0003	C011	9.7943	0.4357
T0001	C008	31.6369	0.5990
T0000	C011	43.5465	0.9734
T0014	C012	37.1834	0.6461
T0001	C025	19.9536	0.9104
T0012	C015	35.1078	0.1171
T0012,T0013	C021	36.4794	0.2736
T0002	C027	36.5897	0.8879
T0008,T0010	C018	29.7540	0.4761
T0000,T0014	C016	40.6818	0.8517
T0002	C000	25.9482	0.7221
T0000,T0005	C005	51.0298	0.0168
T0000	C004	47.2515	0.5829
T0007	C008	20.2930	0.7087
