task_id_list	courier_id	total_score	willingness
T0002,T0019	C023	24.9129	0.0606
T0026	C031	21.5865	0.0452
T0011	C048	9.5146	0.0667
T0020,T0022	C036	45.2617	0.0100
T0017	C028	34.6788	0.0254
T0000,T0020	C031	17.7244	0.1093
T0011	C020	20.0740	0.1641
T0007,T0012	C016	28.5890	0.0100
T0015,T0029	C037	20.0401	0.0801
T0002,T0008	C041	29.8199	0.0100
T0025	C010	20.7314	0.0266
T0003,T0024	C012	35.7518	0.1736
T0011	C007	28.7798	0.1239
T0016	C015	19.3267	0.1683
T0021,T0022	C023	21.8938	0.0733
T0002,T0005	C040	20.3874	0.0899
T0021	C007	23.5939	0.1334
T0020,T0022	C058	32.9723	0.1714
T0005,T0029	C021	38.0499	0.0981
T0003,T0005	C034	23.5007	0.2122
T0004	C013	21.1737	0.1159
T0005	C007	27.5698	0.1593
T0023	C045	31.9903	0.0907
T0001	C015	18.1840	0.2046
T0020	C018	8.0000	0.0436
T0021	C037	25.8832	0.1348
T0005	C046	25.1476	0.1280
T0006	C041	33.1670	0.1883
T0008	C034	29.1402	0.1331
T0008	C031	18.6162	0.1630
T0005,T0029	C045	32.6638	0.1482
T0008,T0010	C022	23.5508	0.0922
T0003,T0016	C024	28.8241	0.0233
T0024	C020	24.5748	0.0789
T0001,T0018	C045	24.9157	0.0614
T0019,T0022	C057	37.6988	0.0434
T0006,T0011	C049	39.2793	0.0100
T0001,T0018	C020	32.8587	0.0991
T0007	C020	11.8644	0.1371
T0006,T0024	C039	10.0000	0.0464
T0005,T0009	C004	30.7217	0.0100
T0017	C044	10.1071	0.0798
T0008,T0021	C055	23.0380	0.1409
T0015,T0029	C016	33.3774	0.1582
T0021	C051	25.5066	0.0472
T0019,T0022	C023	35.7324	0.1170
T0004,T0020	C057	10.0000	0.1434
T0004,T0020	C003	31.6520	0.1353
T0010,T0027	C034	30.5833	0.0392
T0020,T0022	C014	38.2342	0.1157
T0008,T0021	C041	21.2154	0.2177
T0003,T0024	C043	23.0679	0.0790
T0021,T0022	C018	14.3324	0.2372
T0025,T0028	C013	23.6827	0.1801
T0003,T0006	C000	42.4047	0.1150
T0012,T0017	C035	23.3561	0.1801
T0003,T0006	C022	22.1289	0.1099
T0026	C022	45.8155	0.1819
T0008	C050	14.7683	0.1568
T0001,T0008	C040	23.2867	0.1284
T0006,T0023	C027	43.6179	0.0379
T0011,T0016	C057	27.1338	0.0875
T0001,T0008	C049	25.6117	0.0383
T0017	C021	33.4045	0.1797
T0016	C025	27.7383	0.1183
T0018,T0019	C008	12.6203	0.0642
T0012,T0016	C045	25.1206	0.0971
T0006	C025	14.2775	0.2637
T0008,T0010	C008	18.4579	0.0879
T0006,T0027	C030	14.4267	0.1909
T0003,T0006	C026	14.8453	0.1071
T0006,T0024	C017	26.7930	0.1966
T0017,T0026	C055	30.0746	0.0927
T0003,T0005	C004	33.9245	0.1114
T0025	C023	11.1287	0.0348
T0027	C013	26.7732	0.1108
T0017,T0026	C008	18.6582	0.1525
T0028	C045	23.1552	0.1174
T0008,T0009	C032	13.1298	0.0100
T0004	C034	23.0978	0.0989
T0007	C010	15.7986	0.0176
T0025,T0029	C003	31.5279	0.0977
T0015	C043	16.4718	0.0537
T0015	C056	22.9626	0.0388
T0015,T0029	C027	26.2876	0.1413
T0021,T0026	C051	17.0597	0.0945
T0022	C038	15.4887	0.1713
T0019	C058	40.5309	0.1078
T0016,T0019	C015	11.8791	0.0749
T0026	C020	12.5791	0.0911
T0006,T0011	C009	18.8171	0.1174
T0009,T0022	C021	18.6615	0.1225
T0005	C036	24.0923	0.1107
T0025	C044	16.6222	0.1341
T0010,T0027	C043	27.9797	0.1685
T0009	C023	19.8440	0.1180
T0010,T0027	C036	17.0676	0.1276
T0000,T0020	C058	33.9985	0.0495
T0025,T0029	C042	26.5353	0.1149
T0018	C036	20.9933	0.0115
T0014	C021	25.1465	0.0108
T0007,T0012	C012	19.7529	0.1061
T0001	C016	16.3759	0.0829
T0019,T0022	C048	37.4561	0.1204
T0029	C050	12.3417	0.0827
T0005,T0015	C001	31.0894	0.0629
T0003,T0022	C001	30.2961	0.0181
T0017,T0026	C047	35.4449	0.0766
T0001,T0017	C019	24.0751	0.1021
T0002,T0005	C023	24.8402	0.1325
T0006,T0011	C036	27.2398	0.0302
T0012,T0017	C037	44.4758	0.0484
T0017,T0026	C052	18.2713	0.1551
T0014	C058	21.4833	0.1138
T0009	C049	30.0057	0.0654
T0020	C001	19.0727	0.1388
T0005,T0029	C053	13.5312	0.0947
T0003,T0005	C000	30.5290	0.0524
T0005,T0020	C023	31.1159	0.0466
T0025,T0029	C020	31.1183	0.1139
T0005,T0009	C030	25.9758	0.1576
T0005	C021	15.4517	0.1365
T0002,T0008	C023	11.5424	0.0605
T0000	C045	25.1238	0.0317
T0010,T0027	C019	18.1845	0.1185
T0004,T0020	C014	31.1988	0.0100
T0005,T0015	C020	21.1913	0.0855
T0002,T0008	C024	18.9049	0.0409
T0006,T0027	C039	12.6120	0.1175
T0015	C002	32.5558	0.1028
T0001	C024	22.2552	0.1345
T0001,T0018	C055	15.6781	0.0954
T0020	C011	15.9253	0.0501
T0006,T0024	C032	36.6444	0.1107
T0024	C048	23.2050	0.0584
T0007	C040	14.5709	0.0558
T0004	C049	33.2344	0.0661
T0001,T0027	C005	35.3523	0.0861
T0001,T0008	C050	20.9285	0.1204
T0008,T0021	C030	27.6739	0.1651
T0020,T0022	C003	34.2748	0.0981
T0015	C051	17.8729	0.1486
T0009,T0022	C037	16.4560	0.0100
T0003,T0006	C020	30.1355	0.2088
T0015	C054	24.8548	0.0999
T0025,T0029	C019	20.8387	0.1641
T0028	C050	24.3791	0.0701
T0002,T0008	C001	18.8346	0.0143
T0001	C008	16.7353	0.1776
T0016,T0019	C054	24.2639	0.0100
