task_id_list	courier_id	total_score	willingness
T0009,T0018	C006	34.7907	0.4584
T0034,T0039	C070	30.7429	0.3549
T0002,T0027	C059	35.8719	0.1955
T0009,T0032	C050	20.5647	0.2318
T0017	C006	26.1807	0.5616
T0012,T0029	C047	37.6525	0.4620
T0037	C069	40.3899	0.5441
T0012,T0031	C024	44.9047	0.2897
T0007,T0039	C046	52.6244	0.3577
T0023,T0028	C032	33.0579	0.5579
T0019	C005	38.8128	0.1525
T0027,T0035	C059	38.6126	0.1493
T0002,T0025	C014	23.9192	0.5104
T0016,T0032	C044	10.3107	0.2089
T0004,T0026	C028	31.8755	0.3188
T0019,T0032	C025	43.2178	0.2352
T0010,T0016	C000	56.4324	0.5735
T0002,T0014	C071	28.4763	0.6361
T0037	C071	27.0022	0.1937
T0012,T0013	C019	40.0679	0.2211
T0028,T0030	C072	16.9886	0.1784
T0012,T0031	C032	32.9767	0.5266
T0021	C045	30.3472	0.0783
T0021,T0026	C073	28.3578	0.5755
T0003	C000	41.2894	0.4062
T0028,T0035	C017	37.9762	0.4669
T0034	C013	16.1564	0.2601
T0012,T0013	C070	41.0774	0.0100
T0030,T0038	C054	44.0716	0.3038
T0010,T0013	C041	27.0701	0.0703
T0003,T0028	C077	46.4691	0.4948
T0038,T0039	C000	30.3850	0.5926
T0016,T0033	C077	39.1835	0.2790
T0017,T0029	C068	23.9532	0.4961
T0000,T0019	C051	51.2899	0.3338
T0018,T0019	C030	12.1099	0.0896
T0035	C042	16.8404	0.5038
T0006,T0035	C024	30.0415	0.0842
T0018,T0034	C005	29.2348	0.0878
T0015	C043	35.0569	0.4890
T0010,T0029	C004	46.2471	0.4146
T0032	C013	48.4731	0.1234
T0026,T0027	C053	10.0000	0.4962
T0000,T0010	C044	42.5820	0.0711
T0006,T0010	C070	30.0276	0.3333
T0021	C041	29.8942	0.3083
T0001,T0005	C036	34.7885	0.6673
T0020,T0031	C018	43.1695	0.3017
T0023,T0039	C078	15.3030	0.3779
T0006,T0035	C039	51.6459	0.2899
T0014,T0039	C055	31.8247	0.1948
T0036	C019	14.3776	0.2595
T0013,T0028	C038	18.4815	0.1937
T0013,T0031	C077	24.1221	0.3929
T0018,T0022	C001	16.0487	0.3872
T0023	C010	13.0121	0.5994
T0007,T0035	C054	14.7308	0.1694
T0026	C041	46.6918	0.1856
T0022,T0034	C030	33.4431	0.3363
T0019,T0033	C002	39.3092	0.4636
T0007,T0035	C032	40.5200	0.3820
T0014,T0025	C077	16.4095	0.2432
T0017,T0029	C039	30.0834	0.1504
T0035	C013	57.8036	0.7486
T0003,T0026	C008	25.4833	0.5939
T0029,T0031	C068	39.2962	0.2468
T0003,T0004	C073	40.2973	0.5996
T0008,T0033	C005	35.4749	0.2492
T0013,T0029	C012	60.2128	0.6840
T0020	C011	48.0368	0.6126
T0014,T0039	C008	26.8020	0.0415
T0000	C073	27.8676	0.4694
T0011,T0029	C066	12.0375	0.5554
T0030,T0038	C073	41.5090	0.1648
T0007,T0035	C023	43.5643	0.0100
T0023,T0039	C053	38.7113	0.7435
T0024,T0026	C039	26.6099	0.9158
T0034	C025	17.9795	0.4532
T0018,T0039	C005	10.0000	0.2447
T0008,T0031	C035	22.6144	0.5821
T0012,T0019	C078	35.3830	0.3564
T0010	C061	18.9957	0.5173
T0009,T0032	C002	48.7214	0.5800
T0004	C073	21.3345	0.4314
T0019,T0032	C023	15.4735	0.3080
T0010,T0022	C014	31.8584	0.2507
T0003,T0028	C065	37.7594	0.4608
T0034	C016	12.0964	0.4246
T0002,T0031	C058	30.9809	0.1986
T0030	C054	20.3231	0.0100
T0010,T0026	C074	28.3873	0.4852
T0016,T0030	C076	32.5807	0.1646
T0022,T0038	C079	45.1101	0.3456
T0006,T0026	C066	32.2288	0.3228
T0004	C072	20.1689	0.4289
T0016,T0030	C043	34.5536	0.4215
