task_id_list	courier_id	total_score	willingness
T0010,T0036	C005	20.5582	0.6527
T0017,T0032	C000	50.2506	0.5763
T0007,T0022	C008	34.8229	0.3264
T0028,T0033	C012	53.1579	0.6052
T0012,T0015	C007	49.9380	0.5318
T0022	C007	52.3645	0.7867
T0002,T0038	C009	38.9489	0.3870
T0003,T0013	C010	35.5756	0.7973
T0014	C005	44.7089	0.6604
T0004,T0021	C012	34.8891	0.4136
T0004,T0011	C019	17.3554	0.5898
T0022	C017	20.9821	0.5487
T0018,T0021	C012	47.4595	0.3958
T0002,T0015	C018	39.1683	0.4689
T0010,T0016	C012	49.5150	0.2953
T0006	C009	15.9813	0.6067
T0005,T0036	C015	22.1997	0.6090
T0018,T0019	C001	27.3743	0.5494
T0018	C017	45.9562	0.2070
T0007	C014	8.0000	0.2382
T0004,T0026	C014	35.7018	0.8005
T0001,T0005	C012	14.6450	0.5756
T0006	C010	34.9936	0.2762
T0019	C005	38.1715	0.4370
T0019,T0020	C006	13.4309	0.2539
T0032,T0035	C001	33.1824	0.4797
T0024,T0031	C018	10.0000	0.2326
T0029	C002	15.8875	0.5233
T0010	C003	17.6620	0.3218
T0022	C001	29.9794	0.3567
T0019	C018	21.9979	0.3506
T0030,T0035	C011	46.9963	0.7801
T0001,T0024	C009	14.2241	0.5294
T0001,T0013	C018	23.9253	0.5934
T0025,T0029	C014	32.4190	0.9364
T0015	C014	15.9628	0.4840
T0000,T0027	C006	33.2027	0.2221
T0020,T0033	C005	10.0000	0.8901
T0019,T0025	C014	29.5858	0.5478
T0014,T0025	C018	21.7716	0.1232
T0019,T0025	C016	13.1675	0.7330
T0017,T0019	C007	59.2320	0.6267
T0013,T0030	C009	10.0000	0.8241
T0017,T0018	C015	20.4036	0.6890
T0017,T0032	C013	30.0574	0.2277
T0001,T0035	C019	58.4581	0.6348
T0006,T0030	C004	45.2572	0.6219
T0013,T0024	C004	51.9370	0.4690
T0027,T0032	C008	30.5951	0.6282
T0006,T0035	C019	10.0000	0.4992
T0005,T0037	C004	57.2978	0.4645
T0029,T0036	C008	34.0083	0.4470
T0039	C006	40.1788	0.7290
T0001,T0030	C007	10.6655	0.0194
T0030,T0032	C019	27.7132	0.1899
T0023	C010	15.3027	0.6039
T0003,T0004	C004	14.4182	0.4383
T0016,T0037	C002	16.1970	0.6264
T0005	C002	9.2528	0.7211
T0035	C015	34.4128	0.3092
T0018,T0021	C015	20.4645	0.2643
T0006	C000	44.9653	0.5695
T0001,T0030	C005	26.7840	0.4006
T0009,T0023	C014	19.4592	0.5193
T0012,T0015	C006	29.7840	0.3124
T0018	C012	37.7232	0.6685
T0021	C003	19.9212	0.6797
T0018,T0034	C008	31.6084	0.2593
T0031	C005	20.9355	0.5912
T0017,T0032	C005	42.3724	0.5188
T0019,T0037	C009	31.5635	0.6373
T0008,T0019	C012	56.9453	0.5540
T0024,T0030	C018	32.4595	0.7427
T0012,T0032	C016	50.7556	0.1696
T0028,T0035	C006	34.3143	0.7366
T0027	C018	14.3744	0.4817
T0018,T0034	C006	29.7909	0.2859
T0017,T0032	C009	33.9843	0.7252
T0021	C014	18.9138	0.5839
T0025,T0032	C003	34.4234	0.3721
T0007,T0009	C005	17.9254	0.3983
T0003,T0007	C006	35.8016	0.2827
T0014,T0036	C010	36.0875	0.8693
T0025,T0032	C012	27.7034	0.5364
T0001,T0022	C018	37.0089	0.3751
T0001,T0015	C016	23.3386	0.6283
T0009	C017	15.6086	0.7505
T0013	C011	32.8095	0.3038
T0018,T0023	C019	20.2078	0.7260
T0030	C015	34.6538	0.4779
T0021	C000	17.7043	0.5472
T0001,T0022	C015	39.4552	0.0756
T0028	C000	38.7049	0.6782
