task_id_list	courier_id	total_score	willingness
T0007	C014	52.0540	0.4224
T0001,T0009	C015	33.2086	0.3548
T0006	C024	38.5512	0.5846
T0002,T0010	C029	30.1989	0.4537
T0012	C023	35.9670	0.6336
T0009	C016	35.9304	0.5398
T0005,T0010	C004	28.5634	0.5766
T0005	C015	8.0000	0.6845
T0014	C028	15.2624	0.6267
T0002,T0010	C025	35.0143	1.0000
T0001,T0002	C007	60.9003	0.3833
T0006	C021	31.3993	0.5226
T0001,T0009	C004	37.4049	0.5563
T0011	C028	10.1902	0.6116
T0000,T0008	C028	42.1361	0.4537
T0007,T0012	C013	28.0545	0.4615
T0010	C018	27.1160	0.0945
T0010	C003	26.5029	0.3437
T0008,T0009	C018	41.3381	0.7384
T0005	C024	23.6999	0.4148
T0013	C012	22.1999	0.7594
T0003	C017	17.1000	0.7672
T0009	C000	35.5144	0.4881
T0001	C020	44.9036	0.6322
T0011,T0012	C012	36.2222	0.8284
T0008,T0012	C016	25.4145	0.8267
T0005	C000	18.0503	0.4931
T0008	C007	35.4358	0.7565
T0007,T0012	C001	26.6837	1.0000
T0004	C023	20.5872	0.1807
T0008,T0012	C023	62.8491	0.5211
T0008,T0012	C008	45.2691	0.5020
T0011	C013	19.5599	0.5267
T0001	C017	11.1926	0.8960
T0008	C018	21.3187	0.3360
T0009	C022	36.3951	0.5468
T0006	C025	8.0000	0.4023
T0000	C005	39.7306	0.6587
T0002	C029	36.7318	0.4401
T0008	C028	28.6009	0.6835
T0000,T0014	C015	22.9693	0.6423
T0014	C025	47.5095	0.6210
T0007,T0012	C006	32.4998	0.2394
T0012	C003	22.8228	0.7181
T0005	C029	25.8508	0.7481
T0013	C016	17.4060	0.8992
T0010,T0011	C017	50.3964	0.5994
T0010,T0011	C011	45.7377	0.8978
T0001,T0002	C011	36.6351	0.7302
T0001,T0003	C028	18.8526	0.3902
T0007,T0008	C002	26.9484	0.5540
T0011,T0012	C020	30.3082	0.3426
T0001,T0003	C022	32.6571	0.6339
T0011	C029	49.7134	0.3275
T0002	C022	35.1128	0.4242
T0001	C001	31.9977	0.3644
T0000	C022	30.1364	0.7121
T0000	C003	29.4873	0.7089
T0002,T0010	C017	26.0978	0.5657
T0005	C001	21.8232	0.6624
T0005	C010	35.3562	0.4571
T0008	C000	27.4550	0.3812
T0003	C014	30.4388	0.4925
T0007	C007	34.3140	0.2968
T0001,T0003	C007	31.5155	0.9693
T0008,T0009	C009	35.7730	0.5852
T0006	C002	32.4765	0.6254
T0012	C027	26.6148	0.3125
T0003	C018	48.0318	0.7473
T0004	C025	28.0544	0.6890
T0011,T0014	C025	26.1217	0.3457
T0000,T0007	C002	25.6543	0.7720
T0007,T0009	C024	31.3807	0.7925
T0011	C027	31.4592	0.5497
T0008,T0012	C029	48.4033	0.6888
T0003	C005	28.3542	0.4578
T0000	C015	35.6011	0.3928
T0014	C027	35.6511	0.3702
T0008,T0009	C020	48.1474	0.7451
T0005,T0013	C016	38.2828	0.6404
T0001,T0003	C019	48.4209	0.8770
T0002,T0010	C020	50.5634	0.6419
T0014	C018	8.0000	0.5664
T0013	C017	37.8121	0.8102
T0013,T0014	C005	33.1725	0.5737
T0000,T0014	C008	11.0359	0.3064
T0003	C027	49.6787	0.7574
T0003,T0004	C020	38.0059	0.1434
T0005,T0010	C008	49.8626	0.7866
T0012	C010	27.9941	0.5279
T0008	C014	29.2285	0.5300
T0002	C016	44.1522	0.4825
T0011	C016	23.0285	0.3047
T0013,T0014	C019	28.4943	0.4721
T0001,T0003	C013	30.3295	0.7405
T0013	C005	36.8246	0.5890
T0014	C009	8.0000	0.4252
T0000,T0014	C013	59.7257	0.8480
T0011	C011	32.7981	0.4279
T0009	C021	32.9503	0.3593
T0005,T0013	C003	42.4381	0.5478
T0001,T0009	C028	42.4588	0.5755
T0013	C015	40.2413	0.6574
T0002,T0010	C021	34.9936	0.2726
T0010	C023	37.9311	0.8047
T0007,T0008	C000	42.5764	0.4748
T0005,T0010	C017	47.9837	0.2885
T0002	C017	23.7332	0.6111
T0000	C023	34.2180	0.6923
T0002,T0010	C000	20.8053	0.4185
T0000,T0014	C014	54.7747	0.3116
