task_id_list	courier_id	total_score	willingness
T0006	C042	44.2569	0.6872
T0005,T0016	C062	39.6016	0.5799
T0000,T0039	C038	37.2709	0.3995
T0029,T0037	C070	29.9513	0.4825
T0001,T0006	C006	16.0794	0.4777
T0029,T0032	C000	15.8969	0.4824
T0001,T0003	C004	31.9564	0.6469
T0026,T0037	C050	21.4889	0.5147
T0003,T0025	C034	45.1094	0.3031
T0031,T0039	C045	36.6339	0.3506
T0008,T0032	C063	36.4315	0.3831
T0031	C049	42.7205	0.5504
T0011,T0018	C038	20.9214	0.2719
T0014,T0033	C060	49.7711	0.0198
T0011,T0014	C018	17.2159	0.1332
T0018,T0024	C079	25.8372	0.5279
T0007	C070	45.6468	0.5191
T0008,T0010	C013	59.0079	0.1279
T0004,T0013	C040	16.3208	0.2019
T0010	C055	54.5674	0.3754
T0009,T0020	C005	26.1281	0.4976
T0018,T0024	C076	33.5016	0.5011
T0008,T0021	C063	19.1767	0.2638
T0006,T0035	C013	49.4003	0.4829
T0012,T0037	C076	36.6454	0.4165
T0017,T0026	C009	26.6563	0.2239
T0012,T0026	C002	25.0915	0.2334
T0034,T0039	C071	23.6663	0.3137
T0012,T0037	C074	42.5934	0.2848
T0009,T0036	C027	25.2142	0.0100
T0001,T0014	C075	27.6693	0.7353
T0020	C051	9.3660	0.5068
T0031,T0032	C053	26.6385	0.0181
T0005,T0019	C015	10.0000	0.4950
T0002	C038	23.4477	0.1762
T0029,T0037	C023	16.8899	0.5139
T0012,T0036	C053	40.9019	0.7073
T0017,T0026	C065	37.7227	0.3951
T0032,T0034	C014	29.5328	0.4194
T0001,T0014	C015	14.2486	0.4542
T0006,T0019	C018	39.7530	0.5388
T0016,T0039	C031	20.0709	0.4394
T0025,T0037	C077	28.2854	0.4582
T0022	C053	31.3935	0.0100
T0003,T0025	C071	20.1450	0.5514
T0012,T0037	C044	14.2398	0.5757
T0024,T0028	C024	45.9670	0.4269
T0001,T0016	C057	37.9800	0.1803
T0017,T0026	C041	36.5020	0.3468
T0037,T0038	C018	18.4597	0.5782
T0029,T0032	C010	12.6048	0.3007
T0038	C068	11.1421	0.5210
T0018	C025	12.3178	0.1087
T0024,T0033	C003	22.0173	0.5096
T0013,T0027	C074	31.0739	0.2077
T0007,T0024	C008	38.1313	0.4505
T0017,T0020	C018	27.6362	0.4464
T0000	C026	33.6155	0.0889
T0019,T0026	C058	17.5646	0.2784
T0010	C035	40.0750	0.2112
T0001,T0016	C062	13.2147	0.8181
T0022	C008	17.4333	0.2296
T0028	C061	38.7844	0.3311
T0019	C038	33.2153	0.3464
T0004,T0013	C042	37.9077	0.6714
T0005,T0029	C066	52.7294	0.2291
T0019	C059	40.0154	0.0357
T0016,T0038	C043	29.4895	0.1954
T0032	C075	21.7793	0.6658
T0006,T0032	C030	10.0000	0.2693
T0006,T0008	C043	25.9170	0.3565
T0007,T0032	C041	20.4369	0.0100
T0000,T0022	C067	32.3616	0.4236
T0007,T0032	C079	47.4423	0.1108
T0026,T0037	C035	10.1942	0.4444
T0028,T0033	C045	37.8886	0.3651
T0009,T0036	C067	10.7201	0.6132
T0025,T0037	C017	10.0000	0.5578
T0007,T0026	C005	38.6652	0.6080
T0007,T0026	C031	26.9617	0.2526
T0027,T0035	C025	26.3795	0.4994
T0019,T0034	C030	43.8728	0.4922
T0004,T0024	C072	32.7486	0.4133
T0012,T0038	C074	33.4878	0.3984
T0023,T0027	C054	32.3891	0.4845
T0010,T0035	C030	39.4200	0.2488
T0008,T0031	C063	43.4432	0.1681
T0013,T0034	C052	10.0000	0.0102
T0004,T0011	C037	16.6272	0.8104
T0021,T0037	C073	38.9757	0.2802
T0005,T0036	C001	43.8941	0.0271
T0011,T0014	C045	47.6960	0.2522
T0005,T0027	C034	31.7158	0.0847
T0022,T0024	C012	26.1136	0.7994
T0032,T0033	C017	38.8200	0.6083
T0009,T0021	C064	38.6074	0.2442
T0006,T0035	C010	27.1114	0.4598
T0009,T0021	C063	27.6613	0.1946
T0010,T0029	C042	23.8047	0.2876
T0022	C014	32.8930	0.2650
T0022,T0024	C061	28.8916	0.7593
T0026,T0034	C040	43.1118	0.6295
T0000,T0022	C031	33.7495	0.5732
T0002	C021	19.2239	0.3289
T0026,T0027	C053	19.9148	0.6641
T0018,T0024	C064	45.2418	0.2056
T0025,T0037	C027	48.9172	0.0100
T0013,T0029	C068	22.5517	0.4132
T0003	C018	18.1754	0.3112
T0012,T0029	C023	28.0825	0.4598
T0025	C049	27.3584	0.0100
T0001,T0027	C002	34.5413	0.7248
T0001,T0022	C014	35.8295	0.4365
T0016,T0038	C062	24.8845	0.2385
T0017	C056	21.3864	0.0100
T0011,T0024	C026	22.5238	0.4594
T0009,T0023	C068	13.2913	0.0506
T0031	C039	41.2360	0.7183
T0013,T0034	C078	39.5996	0.1686
T0004,T0038	C054	29.8883	0.0883
T0003,T0018	C033	38.3026	0.1978
T0015,T0026	C074	33.5312	0.5072
T0019,T0030	C025	26.3279	0.2238
T0013,T0038	C051	54.2268	0.8051
T0025,T0028	C053	43.5202	0.4806
T0026,T0027	C052	41.6071	0.3620
T0026,T0032	C050	32.3848	0.2031
T0010,T0029	C053	17.4163	0.3742
T0033	C048	23.8198	0.8859
T0009,T0031	C042	30.3431	0.3169
T0004,T0038	C060	47.1211	0.3275
T0012,T0031	C059	37.0266	0.5418
T0012,T0036	C072	40.4088	0.0100
T0031,T0039	C077	35.6099	0.3899
T0023,T0025	C004	31.0732	0.0921
T0009,T0012	C006	37.2237	0.3397
T0009,T0018	C032	10.0000	0.6504
T0010,T0029	C073	44.6486	0.0370
T0007	C009	15.0242	0.4339
T0005,T0012	C018	27.9431	0.4238
T0022	C078	20.7454	0.3947
T0005,T0032	C004	35.4936	0.4636
T0012,T0031	C067	43.4234	0.2760
T0019	C044	13.8939	0.7102
T0022,T0036	C034	52.2155	0.2862
T0022,T0036	C028	23.4898	0.4119
T0036	C068	20.3530	0.1388
T0014,T0021	C046	10.2369	0.4202
T0034,T0039	C078	42.0824	0.4400
T0022	C006	32.7544	0.5685
T0009,T0021	C066	44.0233	0.1037
T0003	C039	17.2989	0.2007
T0000,T0025	C012	34.9688	0.3919
T0002,T0025	C072	21.3318	0.2473
T0038	C052	18.1916	0.3590
T0022,T0036	C027	30.4786	0.3245
T0010,T0032	C067	19.8818	0.8124
T0012,T0038	C003	39.3501	0.3921
T0027,T0030	C056	35.7506	0.2324
T0012,T0030	C021	10.0000	0.4355
T0008,T0022	C016	34.4602	0.3863
T0013	C005	33.8846	0.2455
T0010	C023	20.4932	0.9186
T0006,T0035	C016	10.0000	0.0192
T0003,T0036	C065	35.3731	0.3766
T0007,T0024	C012	54.4757	0.7390
T0018,T0038	C079	11.8591	0.4326
T0020	C022	17.0183	0.2593
T0010,T0026	C037	61.5511	0.2985
T0019,T0032	C032	29.6327	0.3812
T0014,T0019	C071	29.3056	0.1197
T0003,T0009	C041	34.0387	0.4033
T0003,T0036	C068	69.5951	0.6511
T0022,T0025	C037	33.5201	0.4389
T0005,T0007	C011	35.2026	0.2042
T0008,T0029	C048	39.5629	0.1394
