task_id_list	courier_id	total_score	willingness
T0023,T0027	C019	42.5927	0.8253
T0024,T0032	C018	10.0000	0.8008
T0002,T0010	C013	26.5376	0.6668
T0001,T0002	C012	44.6814	0.6320
T0005,T0039	C017	25.9195	0.5096
T0009,T0028	C019	29.7998	0.4312
T0019,T0034	C017	49.7774	0.0924
T0000,T0012	C008	53.0026	0.4494
T0011,T0024	C005	36.7483	0.3255
T0021,T0038	C015	23.8843	0.5531
T0021,T0029	C005	17.1307	0.1617
T0011,T0022	C016	57.7168	0.7057
T0023,T0036	C004	24.4984	0.3247
T0001,T0031	C016	43.7774	0.7773
T0037,T0039	C014	23.0127	0.6192
T0009,T0016	C019	31.7726	0.7307
T0013,T0025	C008	26.9101	0.4003
T0025	C012	16.5719	0.5232
T0022,T0032	C013	36.1920	0.7180
T0036	C014	22.0382	0.5064
T0033,T0035	C012	38.5811	0.2832
T0000,T0037	C002	26.5806	0.5877
T0007,T0037	C013	23.1637	0.0386
T0002,T0004	C005	24.9866	0.7449
T0018	C018	17.8665	0.4950
T0028,T0036	C015	25.8569	0.6948
T0032,T0039	C009	43.3631	0.5737
T0019,T0030	C012	38.4614	0.4988
T0000,T0012	C004	54.0321	0.5576
T0004,T0016	C008	30.9561	0.7643
T0000,T0001	C009	26.1597	0.3942
T0011,T0034	C018	50.3031	0.3901
T0011,T0018	C009	53.4417	0.7213
T0008,T0029	C014	34.5386	0.4105
T0014,T0025	C015	42.5270	0.2790
T0008,T0021	C001	27.3241	0.7919
T0009	C007	49.8804	0.3035
T0015,T0016	C014	29.7837	0.5271
T0030,T0038	C000	49.3749	0.2385
T0011,T0034	C010	48.1533	0.6404
T0033	C004	34.4198	0.3369
T0001,T0035	C019	54.0130	0.8428
T0019,T0039	C018	29.3432	0.9794
T0026,T0038	C014	46.4664	0.1349
T0018	C009	8.0000	0.2316
T0017,T0032	C003	23.3298	0.5985
T0003,T0007	C013	37.3287	0.5258
T0002,T0023	C009	45.0788	0.6461
T0009,T0021	C004	25.3771	0.4081
T0000,T0009	C005	17.5448	0.5085
T0013,T0033	C013	36.4164	0.2196
T0016	C017	39.1770	0.4674
T0006,T0033	C010	54.1025	0.4461
T0012,T0022	C000	45.3640	0.4525
T0020,T0024	C005	60.8783	0.6418
T0015	C005	21.5485	0.5251
T0000,T0015	C009	20.8149	0.5551
T0030	C013	24.0889	0.4591
T0023,T0029	C000	35.5439	0.2031
T0031	C008	18.6533	0.3524
T0003,T0021	C004	44.2190	0.2600
T0012,T0024	C002	32.7949	0.5134
T0000	C008	19.5333	0.3138
T0033,T0035	C014	26.5973	0.3271
T0008,T0028	C002	10.0000	0.6403
T0005,T0037	C000	43.5390	0.4995
T0004,T0031	C016	25.8302	0.7308
T0005,T0037	C017	53.1274	0.4134
T0026	C010	8.0000	0.4473
T0000,T0016	C003	14.1316	0.2757
T0021,T0029	C010	37.7822	0.6141
T0012,T0017	C005	35.5966	0.4319
T0008,T0029	C016	22.5471	0.1277
T0005,T0016	C017	17.7777	0.4881
T0006,T0031	C011	46.8742	0.7174
T0003,T0013	C005	53.8159	0.8662
T0019,T0020	C000	28.5543	0.5746
T0011,T0016	C002	40.3251	0.6695
T0029	C013	28.2396	0.9191
T0010,T0015	C011	36.6824	0.2819
T0007,T0037	C002	38.8958	0.7895
T0023	C010	32.7006	0.6157
T0006,T0034	C010	25.7596	0.4499
T0019,T0030	C018	40.1522	0.4479
T0017	C009	13.5263	0.2660
T0011,T0037	C018	34.6668	0.9081
T0000	C006	8.0000	0.2447
T0010,T0019	C014	15.7647	0.4410
T0004,T0014	C009	25.3461	0.7097
T0016,T0024	C001	41.2286	0.4194
T0007,T0035	C000	28.8461	0.3533
T0003,T0015	C018	10.0000	0.5092
T0000,T0020	C010	40.2203	0.4169
T0010,T0011	C002	33.1636	0.1339
T0008,T0014	C010	37.0137	0.6188
T0006,T0038	C015	37.1446	0.5385
T0007	C011	28.6252	0.5865
T0001,T0022	C017	64.0840	0.1447
T0005,T0023	C004	34.0997	0.2395
T0013,T0033	C004	52.3450	0.4531
T0025	C006	16.2860	0.5211
