task_id_list	courier_id	total_score	willingness
T0004,T0014	C004	32.5490	0.4059
T0037	C002	9.3478	0.2382
T0015	C002	31.5557	0.6628
T0018,T0021	C008	33.2615	0.7950
T0016	C018	46.2969	0.5926
T0017,T0031	C002	25.6557	0.5444
T0022,T0023	C015	24.9240	0.5964
T0003,T0032	C004	48.2239	0.4865
T0004,T0014	C009	32.9327	0.0377
T0021,T0032	C008	22.0182	0.6245
T0000,T0001	C011	36.4891	0.5624
T0006,T0026	C015	30.4159	0.5687
T0003,T0034	C007	37.1711	0.2599
T0005,T0032	C010	27.2327	0.6054
T0027,T0028	C017	50.5221	0.2122
T0020,T0039	C010	16.5299	0.5659
T0006,T0009	C012	11.2706	0.4430
T0015,T0018	C011	51.9846	0.4690
T0019,T0033	C001	32.9134	0.6672
T0001,T0037	C011	38.7158	0.7097
T0029	C017	15.8100	0.4161
T0004,T0016	C011	26.2771	0.4644
T0021	C002	34.5906	0.3183
T0001,T0034	C010	32.9365	0.3824
T0005,T0009	C017	39.8069	0.6437
T0012	C002	15.3677	0.5252
T0014,T0022	C001	28.2494	0.4059
T0004,T0008	C001	16.6682	0.5630
T0007,T0024	C000	39.1583	0.2542
T0013,T0025	C006	31.3580	0.2884
T0039	C001	30.3377	0.5950
T0012,T0017	C017	33.5934	0.6619
T0021	C015	18.6856	0.3184
T0017	C018	19.7946	0.2633
T0017	C007	23.4489	0.2854
T0014,T0025	C019	36.2287	0.2161
T0019,T0032	C007	10.0502	0.6820
T0001,T0015	C010	56.1324	0.5956
T0005,T0039	C004	38.7639	0.3683
T0023,T0028	C001	26.1122	0.0174
T0005	C009	35.4578	0.0829
T0014,T0033	C015	46.4065	0.4863
T0017,T0024	C019	44.6882	0.8121
T0037	C000	19.6863	0.4747
T0005,T0030	C014	21.0139	0.4522
T0025	C004	21.8453	0.8290
T0020	C006	20.9760	0.2774
T0026,T0038	C003	25.5673	0.9304
T0014,T0025	C011	45.0232	0.2623
T0012,T0027	C013	27.1009	0.4442
T0016,T0029	C019	26.4866	0.1827
T0007,T0024	C018	39.2032	0.3653
T0038	C013	28.1100	0.3419
T0036	C000	8.0000	0.2197
T0003,T0014	C006	43.1566	0.4645
T0025,T0031	C012	15.4704	0.3210
T0009,T0013	C007	24.6877	0.3325
T0004,T0027	C018	61.2055	0.4978
T0011,T0024	C013	41.8344	0.4222
T0014,T0038	C009	18.7776	0.4883
T0012,T0034	C018	38.6428	0.5403
T0006,T0012	C018	41.3615	0.8529
T0000,T0004	C009	38.9219	0.5373
T0015,T0037	C001	25.6198	0.8439
T0019,T0035	C011	10.0000	0.4193
T0013,T0028	C006	32.2852	0.5939
T0004,T0039	C005	55.8897	0.3295
T0004,T0015	C017	38.0085	0.7416
T0004,T0027	C002	15.5738	0.2021
T0017,T0020	C008	45.4029	0.8048
T0013,T0024	C011	46.7932	0.4898
T0016	C000	25.7514	0.1838
T0002,T0035	C004	41.3758	0.7244
T0016,T0034	C000	31.7615	0.5435
T0015,T0030	C004	37.2019	0.4873
T0001,T0031	C013	39.0863	0.7061
T0002,T0005	C001	47.2533	0.3752
T0017,T0019	C019	31.3274	0.6660
T0008,T0029	C007	30.7538	0.1634
T0024	C011	26.6623	0.4324
T0030,T0039	C011	10.0000	0.1143
T0032,T0038	C007	42.4896	0.8294
T0005,T0009	C008	23.4252	0.5019
T0016,T0021	C014	54.2223	0.6282
T0005,T0011	C018	36.3469	0.4229
T0021,T0035	C011	49.3688	0.5435
T0023,T0030	C002	28.6314	0.7431
T0001,T0031	C006	33.5201	0.7597
T0001,T0035	C008	57.9187	0.7279
T0003,T0032	C008	29.6841	0.8264
T0008,T0020	C004	44.1501	0.3994
T0007,T0033	C015	31.8049	0.3843
T0015,T0037	C003	28.9945	0.4528
T0028	C010	8.0000	0.5085
T0022	C011	17.4320	0.5932
T0004	C002	21.7171	0.6218
T0005,T0033	C014	30.9793	0.1744
T0004,T0006	C011	49.0467	0.3612
T0012,T0017	C001	42.9332	0.3886
T0020,T0035	C017	31.1992	0.6793
T0032,T0038	C008	46.3195	0.3441
T0017,T0023	C000	53.4699	1.0000
T0005,T0032	C011	10.0000	0.3819
T0003,T0029	C010	58.9846	0.4589
T0008,T0013	C016	39.3602	0.6383
T0017,T0031	C006	36.6890	0.3227
T0017,T0026	C002	19.5013	0.6513
T0006	C013	15.1879	0.6011
T0012,T0037	C017	19.7053	0.5361
T0011,T0025	C019	48.9272	0.4370
T0004,T0031	C017	19.8387	0.5756
T0016,T0030	C011	45.7316	0.4043
T0033,T0038	C013	48.1290	0.8450
T0005,T0033	C013	48.4503	0.5767
T0022,T0030	C018	10.0000	0.5496
T0007,T0034	C009	54.9227	0.5457
T0016,T0026	C004	20.8166	0.4094
T0007,T0036	C013	46.3167	0.2298
T0026,T0029	C012	29.5208	0.3794
T0013	C001	31.5410	0.6398
T0031	C014	22.4912	0.4081
T0019,T0029	C004	28.8134	0.0685
T0006,T0014	C014	27.1973	0.3019
T0015,T0030	C019	49.3076	0.7260
T0007,T0023	C013	21.2625	0.3827
T0039	C014	24.2199	0.4406
T0015,T0017	C015	57.3513	0.5841
T0008,T0027	C016	17.8742	0.2570
T0012,T0027	C006	34.6371	0.6811
T0003,T0033	C014	20.8442	0.5190
T0023,T0031	C001	38.7031	0.3253
T0026,T0029	C017	21.9167	0.5392
T0025	C010	26.8165	0.6371
T0020,T0034	C009	34.5676	0.2241
T0002,T0008	C012	24.2525	0.2811
T0015,T0038	C017	49.4649	0.4266
T0011,T0020	C005	53.3238	0.3509
T0017,T0030	C005	29.1054	0.6152
T0001,T0005	C012	15.9022	0.3123
T0014,T0033	C013	40.7338	0.6600
T0035,T0039	C008	23.7923	0.4740
T0014,T0015	C011	21.1001	0.2417
T0008,T0036	C015	28.0154	0.6023
T0000,T0005	C007	10.0000	0.4289
T0016,T0039	C011	24.2468	0.5742
T0022,T0023	C019	48.7725	0.6606
T0008,T0033	C008	26.8037	0.1701
T0031,T0033	C018	20.9924	0.3697
T0022,T0028	C005	48.5818	0.6876
T0024,T0027	C017	29.4606	0.6470
T0023	C011	22.3851	0.2109
T0035,T0039	C004	23.2421	0.6235
T0031,T0037	C005	29.5137	0.6101
T0016	C007	20.4969	0.4106
T0012	C005	13.9763	0.0750
T0032	C011	8.0000	0.6226
T0016,T0039	C019	30.9251	0.3040
T0024,T0027	C016	43.0075	0.6613
T0028,T0036	C002	54.3066	0.3483
T0034	C000	31.8131	0.7197
