task_id_list	courier_id	total_score	willingness
T0000,T0011	C058	33.3313	0.3527
T0037,T0038	C035	21.7793	0.3650
T0003,T0034	C077	35.3295	0.3651
T0018	C078	13.3637	0.4353
T0003,T0029	C004	35.7887	0.4085
T0019,T0034	C079	24.7318	0.5222
T0006,T0025	C051	24.8698	0.7904
T0002,T0017	C011	10.0000	0.3792
T0016	C073	37.7296	0.3843
T0007,T0013	C054	41.1339	0.6500
T0002	C075	33.9480	0.2618
T0022,T0029	C071	53.6935	0.0100
T0003,T0022	C001	39.0343	0.1418
T0024,T0031	C028	31.8669	0.1924
T0003,T0013	C005	29.1411	0.4438
T0001,T0017	C074	45.3304	0.0100
T0001,T0007	C007	21.5681	0.1545
T0035	C027	8.0000	0.3561
T0018,T0037	C048	34.4871	0.4134
T0027,T0039	C023	32.3817	0.3792
T0025,T0029	C001	38.1450	0.2907
T0012	C073	36.7601	0.0100
T0008,T0014	C042	23.4766	0.2897
T0010,T0013	C055	24.8252	0.1944
T0023,T0037	C060	35.3168	0.5538
T0008	C067	19.7251	0.5949
T0016,T0029	C028	39.8065	0.0100
T0014,T0018	C072	26.4769	0.2227
T0003,T0037	C069	29.4713	0.6610
T0000,T0005	C013	38.9156	0.8324
T0023,T0033	C031	40.7598	0.3927
T0035,T0036	C035	25.2049	0.4558
T0002	C077	17.6687	0.3763
T0024,T0035	C060	35.8446	0.3592
T0018,T0028	C014	42.4768	0.4118
T0022	C026	34.3224	0.2813
T0016,T0018	C031	13.0721	0.2777
T0018,T0037	C065	29.5465	0.3478
T0002,T0017	C004	10.0000	0.2223
T0014	C046	20.2363	0.4249
T0026,T0030	C039	49.4284	0.2808
T0030	C051	34.2666	0.2245
T0024,T0031	C013	43.2221	0.0957
T0000,T0033	C049	17.6821	0.2107
T0011,T0018	C063	30.9333	0.3185
T0005,T0006	C048	22.5436	0.2490
T0007,T0019	C027	27.6307	0.4676
T0023	C007	11.5011	0.3571
T0002,T0006	C022	17.0889	0.0979
T0002,T0003	C067	44.3373	0.2144
T0023,T0038	C029	33.4556	0.2496
T0037	C004	19.0789	0.3287
T0011,T0026	C000	31.9389	0.7420
T0004,T0016	C030	30.8012	0.1465
T0000,T0005	C018	26.8860	0.2657
T0023,T0038	C030	31.9048	0.6083
T0009	C027	25.8321	0.2086
T0033	C058	8.0000	0.5996
T0025,T0030	C072	48.1272	0.4926
T0001,T0006	C007	39.1809	0.3072
T0019,T0028	C025	41.5080	0.2817
T0018,T0036	C022	30.8780	0.0481
T0000,T0036	C048	32.3517	0.5055
T0003	C024	15.2164	0.3868
T0010,T0024	C017	44.3786	0.0100
T0006,T0035	C056	29.7374	0.5653
T0018,T0037	C070	25.6170	0.0481
T0029,T0035	C021	28.7173	0.3332
T0004,T0030	C064	10.0000	0.7392
T0037,T0038	C012	26.9797	0.4690
T0011	C003	33.6464	0.3528
T0000,T0039	C027	42.1570	0.2994
T0020,T0025	C057	21.1853	0.2268
T0020,T0036	C020	44.6305	0.4552
T0005,T0032	C053	40.6394	0.2387
T0009	C004	44.4199	0.7404
T0011,T0018	C048	23.5151	0.4178
T0002,T0038	C017	47.0508	0.7079
T0023,T0031	C049	30.5296	0.3291
T0005,T0020	C014	35.0427	0.2330
T0027	C033	30.5602	0.1300
T0003,T0035	C079	26.4264	0.1264
T0007,T0032	C059	41.5146	0.0359
T0007,T0032	C008	17.2225	0.4006
T0014,T0015	C033	46.4860	0.3885
T0001,T0004	C006	16.1057	0.2165
T0028	C031	29.3721	0.7322
T0023,T0037	C034	25.6298	0.3584
T0003,T0022	C056	42.9917	0.4103
T0019,T0028	C056	30.7924	0.6758
T0013,T0030	C020	46.3564	0.4929
T0026,T0036	C023	21.7996	0.2831
T0035	C074	12.9187	0.5829
T0000	C034	38.1901	0.7275
T0021,T0032	C006	18.8288	0.3843
T0013,T0032	C039	23.1640	0.5165
T0019,T0032	C021	10.6819	0.4037
T0009,T0038	C051	34.3540	0.3529
T0018,T0028	C044	22.7145	0.1285
T0015,T0024	C055	47.6662	0.3091
T0000,T0019	C038	28.0197	0.6360
T0000,T0039	C046	10.0000	0.5410
T0038	C055	20.5044	0.1941
T0036	C072	33.6124	0.1492
T0013,T0016	C000	19.6082	0.3173
T0016,T0018	C036	26.3470	0.0722
T0003,T0028	C029	23.5051	0.3850
T0012,T0025	C018	32.2000	0.0492
T0013,T0036	C063	31.5484	0.5446
T0013,T0032	C055	25.9615	0.5371
T0000,T0018	C024	47.5450	0.0100
T0007	C032	8.0000	0.4700
T0019,T0022	C021	26.3944	0.3110
T0020,T0022	C044	29.6688	0.1647
T0028	C074	25.8326	0.3857
T0022,T0024	C060	27.9735	0.4955
T0006	C025	41.7917	0.4423
T0016,T0033	C047	27.2610	0.2471
T0014	C004	9.6155	0.0769
T0010,T0016	C037	40.6785	0.4531
T0005,T0035	C033	15.4783	0.4212
T0031	C070	27.0898	0.1847
T0013,T0025	C069	44.6532	0.0100
T0016,T0017	C079	28.0271	0.5252
T0004,T0037	C003	36.5965	0.0746
T0022,T0032	C019	44.4000	0.1331
T0008,T0009	C070	30.9289	0.6485
T0024	C076	22.0777	0.0820
T0001,T0035	C043	20.7589	0.1968
T0019,T0022	C058	21.5106	0.2931
T0004,T0012	C065	41.2178	0.5707
T0025,T0037	C000	23.0046	0.6233
T0027,T0030	C062	37.2187	0.6337
T0001,T0038	C019	23.2500	0.3909
T0006,T0011	C048	33.4965	0.6455
T0024,T0031	C016	67.6854	0.6183
T0003,T0037	C067	31.3077	0.7557
T0027,T0029	C034	23.2202	0.5165
T0006,T0013	C018	29.7328	0.7059
T0002,T0003	C062	34.6148	0.3583
T0031	C062	23.7885	0.2129
T0016	C021	29.0031	0.1913
T0006,T0021	C049	48.8151	0.6930
T0013,T0025	C013	25.1275	0.2240
T0027	C038	10.8766	0.3861
T0012,T0016	C053	47.2847	0.3160
T0003,T0025	C071	30.7340	0.4696
T0005,T0015	C010	39.2103	0.5384
T0011	C053	15.2636	0.5109
T0006,T0018	C022	19.4884	0.6250
T0030	C037	8.0000	0.2867
T0016	C035	44.3979	0.5676
T0000,T0006	C010	31.8980	0.3459
T0013,T0025	C020	23.7860	0.1978
T0001,T0006	C078	32.8753	0.2369
T0021,T0032	C079	36.4304	0.1772
T0026	C060	42.5805	0.0100
T0000,T0019	C076	19.3757	0.0826
T0000,T0019	C048	26.8793	0.2243
T0016,T0026	C072	15.1905	0.4243
T0020,T0022	C071	34.9302	0.0944
T0023	C015	31.9715	0.2972
T0014,T0018	C060	30.4868	0.1913
T0026,T0031	C033	52.3734	0.4300
T0012,T0024	C043	20.5828	0.3620
T0017	C039	43.7901	0.4982
T0021,T0034	C066	31.7954	0.5474
T0000,T0032	C057	50.3728	0.7679
T0026,T0036	C032	49.4080	0.3642
T0005,T0015	C078	38.3225	0.5645
T0003,T0020	C054	32.4223	0.2314
T0002,T0025	C009	10.0000	0.2077
T0000	C059	34.2041	0.2070
T0026,T0030	C035	43.8079	0.2360
T0000	C010	30.6587	0.0383
T0010,T0024	C025	49.0303	0.1310
T0021,T0034	C052	22.0225	0.3168
T0022,T0032	C078	50.1419	0.5419
T0003,T0035	C045	38.8311	0.4044
T0010,T0034	C002	39.9341	0.4401
T0018,T0036	C025	39.2380	0.0100
