task_id_list	courier_id	total_score	willingness
T0016,T0023	C056	27.4395	0.0651
T0017,T0019	C010	31.9487	0.1483
T0019	C028	21.1780	0.0780
T0002,T0024	C007	25.5213	0.0992
T0012	C046	28.4145	0.1339
T0019,T0025	C005	27.0772	0.1345
T0018	C015	20.9795	0.0826
T0009,T0026	C007	38.0423	0.1142
T0000,T0008	C023	32.6398	0.0544
T0003,T0023	C022	27.0751	0.0981
T0000,T0001	C025	23.5026	0.1040
T0022	C042	19.4799	0.0802
T0006,T0012	C037	19.8375	0.1684
T0006	C002	21.3568	0.0689
T0004,T0029	C035	13.2416	0.1467
T0029	C055	8.0000	0.1086
T0013	C045	25.8041	0.1798
T0017,T0019	C019	36.5692	0.1391
T0004	C013	19.6960	0.1597
T0003,T0023	C048	28.7267	0.0600
T0001,T0017	C012	41.1856	0.0904
T0027	C029	27.3299	0.1625
T0005,T0016	C044	35.7782	0.1744
T0007,T0023	C026	26.8371	0.1193
T0019	C047	28.1078	0.0910
T0017,T0019	C018	17.4102	0.2012
T0004	C040	32.2693	0.0100
T0013	C036	15.5426	0.1067
T0013	C059	13.9046	0.1727
T0012,T0019	C049	33.6923	0.1134
T0026	C036	23.5998	0.1599
T0003,T0023	C017	31.8134	0.1670
T0002	C012	25.5236	0.1565
T0001	C006	13.9431	0.1751
T0014	C028	8.0000	0.0606
T0018	C017	33.3161	0.1478
T0006	C053	28.6897	0.0735
T0014,T0021	C014	30.9532	0.1568
T0002,T0029	C048	14.1623	0.1731
T0013,T0016	C020	33.1094	0.0972
T0023	C042	17.1302	0.0744
T0014,T0022	C003	10.0000	0.0626
T0017	C020	11.4405	0.0176
T0008	C042	10.7380	0.1231
T0009,T0024	C057	17.6835	0.0841
T0026	C003	17.5786	0.1086
T0014,T0022	C047	32.5402	0.1600
T0010	C006	27.7760	0.1324
T0018,T0025	C058	21.6991	0.0100
T0024	C037	8.0000	0.1092
T0009,T0026	C004	26.7773	0.0340
T0013,T0016	C034	34.4493	0.0100
T0029	C023	28.7814	0.0674
T0014,T0021	C038	20.2839	0.0164
T0026	C011	8.0000	0.0235
T0004	C036	16.5494	0.0225
T0003,T0023	C023	25.9465	0.0682
T0006	C044	8.0000	0.1186
T0000,T0018	C003	29.6962	0.0943
T0011	C047	21.4482	0.0100
T0002,T0029	C008	20.2388	0.0286
T0022,T0025	C037	36.3171	0.2060
T0003	C023	24.5816	0.0100
T0013,T0016	C011	31.3375	0.1197
T0005	C013	16.4448	0.0968
T0014,T0022	C030	30.1870	0.1048
T0010	C044	26.1659	0.1222
T0019,T0025	C059	34.6648	0.0100
T0018,T0024	C021	23.1521	0.1169
T0013	C012	31.8338	0.0956
T0004	C017	24.4584	0.0914
T0023	C053	24.7157	0.1062
T0015	C006	16.6703	0.1221
T0017,T0024	C023	35.7361	0.1132
T0021	C051	9.5652	0.0127
T0007,T0028	C024	31.2063	0.0255
T0012,T0019	C051	13.1826	0.1727
T0005	C008	13.9320	0.0820
T0005	C045	18.7906	0.0100
T0007,T0026	C055	10.3972	0.1387
T0007	C003	16.8692	0.1121
T0001,T0002	C014	23.8806	0.0591
T0019	C021	23.5574	0.0437
T0002,T0024	C006	26.3853	0.0531
T0015	C056	27.3445	0.1250
T0024	C038	24.9860	0.0100
T0014,T0027	C029	38.1173	0.0682
T0013	C049	23.9286	0.0100
T0024	C022	23.8091	0.0100
T0009,T0024	C010	17.6963	0.1805
T0019	C049	33.0260	0.1437
T0013	C010	27.5253	0.0575
T0023	C032	34.4101	0.1311
T0000	C001	22.8390	0.1593
T0014,T0022	C006	35.0013	0.1044
T0016,T0018	C006	26.3960	0.2511
T0006	C012	24.9654	0.1448
T0007,T0028	C006	32.2330	0.1406
T0022	C010	26.0406	0.1398
T0012,T0024	C006	38.9733	0.0319
T0024	C049	24.4490	0.0980
T0022	C034	15.8093	0.0425
T0013,T0018	C032	33.4787	0.1559
T0012	C055	17.9856	0.1835
T0021	C030	17.0875	0.1134
T0014,T0029	C004	24.3302	0.1377
T0008	C021	26.7105	0.0712
T0017,T0024	C014	37.0381	0.0817
T0006,T0012	C025	35.0495	0.1941
T0017,T0024	C002	30.9696	0.1255
T0010	C015	18.8119	0.0335
T0004	C012	32.5760	0.1454
T0011,T0015	C005	22.9050	0.0204
T0026	C042	19.5207	0.0671
T0002,T0029	C057	26.2687	0.0744
T0017	C046	13.1332	0.0898
T0018,T0028	C026	15.4678	0.0378
T0018,T0024	C027	38.1395	0.1523
